status,price,spec,lotsize,address,schoolrate,yearbuilt,rentalavg,unitprice,timeonredfin,HOA,Tax,estimatepaymernt,website
 Active,"$210,590","4 Beds,2 Baths,1,602 Sq. Ft.",N/A,"19907 Cypress Holly Ln, Porter, TX 77365",8.5, 2021,1737.0, $131, 13 days, $54, $226,"$1,157 per month",redfin.com/TX/Porter/19907-Cypress-Rd-77365/home/174214340
 Active,"$207,965","3 Beds,2 Baths,1,557 Sq. Ft.",N/A,"19919 Cypress Holly Ln, Porter, TX 77365",8.5, 2021,1681.5, $134, 13 days, $54, $224,"$1,143 per month",redfin.com/TX/Porter/19919-Cypress-Holly-LN-77365/home/174132287
 Active,"$210,590","3 Beds,2 Baths,1,557 Sq. Ft.",N/A,"19903 Cypress Holly Ln, Porter, TX 77365",8.5, 2021,1681.5, $135, 13 days, $54, $226,"$1,157 per month",redfin.com/TX/Porter/19903-Cypress-Rd-77365/home/174214536
 Active,"$196,565","3 Beds,2 Baths,1,349 Sq. Ft.",N/A,"19911 Cypress Holly Ln, Porter, TX 77365",8.5, 2021,1681.5, $146, 13 days, $54, $211,"$1,084 per month",redfin.com/TX/Porter/19911-Cypress-Rd-77365/home/174214131
 Active,"$188,040","3 Beds,2 Baths,1,205 Sq. Ft.",N/A,"19915 Cypress Holly Ln, Porter, TX 77365",8.5, 2021,1681.5, $156, 17 days, $54, $202,"$1,039 per month",redfin.com/TX/Porter/19915-Cypress-Holly-LN-77365/home/174179038
 Active,"$249,000","3 Beds,3 Baths,2,467 Sq. Ft."," 6,050 Sq. Ft.","6718 Hunters Trace Ln, Baytown, TX 77521",6.0, 2013,N/A, $101, 3 days, $38, $714,"$1,788 per month",redfin.com/TX/Baytown/6718-Hunters-Trace-Ln-77521/home/49705623
 Active,"$259,900","4 Beds,3 Baths,2,267 Sq. Ft."," 7,872 Sq. Ft.","15807 Stonehaven Dr, Houston, TX 77059",6.0, 1977,N/A, $115, 3 days, $37, $484,"$1,603 per month",redfin.com/TX/Houston/15807-Stonehaven-Dr-77059/home/30330773
 Active,"$285,000","4 Beds,3.5 Baths,2,572 Sq. Ft."," 5,998 Sq. Ft.","13414 Hickory Springs Ln, Pearland, TX 77584",5.4, 2010,2035.0, $111, 4 days, $83, $814,"$2,084 per month",redfin.com/TX/Pearland/13414-Hickory-Springs-Ln-77584/home/33289003
 Active,"$205,000","4 Beds,2.5 Baths,2,049 Sq. Ft."," 6,325 Sq. Ft.","3725 Nutwood Ln, Spring, TX 77389",5.5, 1997,N/A, $100, 5 days, $32, $440,"$1,325 per month",redfin.com/TX/Spring/3725-Nutwood-Ln-77389/home/30415761
 Active,"$269,900","4 Beds,2 Baths,2,289 Sq. Ft."," 9,062 Sq. Ft.","15306 Pleasant Valley Rd, Houston, TX 77062",6.5, 1972,N/A, $118, 9 days, $6, $597,"$1,726 per month",redfin.com/TX/Houston/15306-Pleasant-Valley-Rd-77062/home/30242747
 Active,"$239,000","3 Beds,2.5 Baths,1,328 Sq. Ft."," 1,821 Sq. Ft.","2220 Naomi St, Houston, TX 77054",4.0, 2005,N/A, $180, 10 days, $67, $436,"$1,498 per month",redfin.com/TX/Houston/2220-Naomi-St-77054/home/29278985
 Active,"$265,000","4 Beds,2.5 Baths,2,435 Sq. Ft."," 3,852 Sq. Ft.","7243 Ironwood Forest Dr, Houston, TX 77083",5.33, 2016,2074.5, $109, 10 days, $47, $567,"$1,718 per month",redfin.com/TX/Houston/7243-Ironwood-Forest-Dr-77083/home/108583699
 Active,"$275,000","4 Beds,2 Baths,2,177 Sq. Ft."," 6,600 Sq. Ft.","4610 Stonemede Dr, Friendswood, TX 77546",5.5, 1987,N/A, $126, 11 days, $30, $454,"$1,629 per month",redfin.com/TX/Friendswood/4610-Stonemede-Dr-77546/home/30599634
 Active,"$245,000","4 Beds,2.5 Baths,2,447 Sq. Ft."," 7,100 Sq. Ft.","3615 Spring Arbor Way, Houston, TX 77345",7.5, 1990,N/A, $100, 20 days, $37, $500,"$1,557 per month",redfin.com/TX/Kingwood/3615-Spring-Arbor-Way-77345/home/30607025
 Active,"$208,000","3 Beds,2 Baths,2,002 Sq. Ft."," 9,200 Sq. Ft.","806 Companion Dr, Crosby, TX 77532",5.25, 2001,N/A, $104, 40 days, $55, $428,"$1,349 per month",redfin.com/TX/Crosby/806-Companion-Dr-77532/home/30470966
 Coming Soon,"$285,000","4 Beds,2.5 Baths,2,629 Sq. Ft."," 10,730 Sq. Ft.","3307 Fawn Creek Dr, Humble, TX 77339",5.25, 1977,N/A, $108, 5 days, $55, $428,"$1,349 per month",redfin.com/TX/Humble/3307-Fawn-Creek-Dr-77339/home/30348409
 Coming Soon,"$255,000","3 Beds,2 Baths,1,849 Sq. Ft."," 6,111 Sq. Ft.","1111 Cedar Shoals Rd, Houston, TX 77062",5.25, 1986,N/A, $138, 6 days, $55, $428,"$1,349 per month",redfin.com/TX/Houston/1111-Cedar-Shoals-Rd-77062/home/30601646
 Active,"$269,900","4 Beds,2.5 Baths,2,876 Sq. Ft."," 6,903 Sq. Ft.","4502 Mallory Creek Dr, Humble, TX 77396",3.67, 2013,1911.5, $94, 42 minutes, $88, $667,"$1,878 per month",redfin.com/TX/Humble/4502-Mallory-Creek-Dr-77396/home/66039650
 Active,"$249,900","3 Beds,2 Baths,2,060 Sq. Ft."," 5,492 Sq. Ft.","16522 Lanesborough Dr, Houston, TX 77084",5.33, 2012,2058.5, $121, 2 hours, $67, $467,"$1,574 per month",redfin.com/TX/Houston/16522-Lanesborough-Dr-77084/home/52544568
 Active,"$260,000","4 Beds,2.5 Baths,2,183 Sq. Ft."," 7,776 Sq. Ft.","1818 Mustang Springs Dr, Missouri City, TX 77459",6.33, 1977,1821.0, $119, 2 hours, $16, $407,"$1,506 per month",redfin.com/TX/Missouri-City/1818-Mustang-Springs-Dr-77459/home/33005429
 Active,"$199,900","3 Beds,2.5 Baths,1,790 Sq. Ft."," 8,814 Sq. Ft.","2906 Maple Knoll Dr, Kingwood, TX 77339",6.5, 1982,1659.0, $112, 3 hours, $16, $407,"$1,506 per month",redfin.com/TX/Humble/2906-Maple-Knoll-Dr-77339/home/30468058
 Active,"$230,000","4 Beds,2.5 Baths,2,308 Sq. Ft."," 9,000 Sq. Ft.","8307 Clover Gardens Dr, Houston, TX 77095",6.0, 1982,2374.0, $100, 3 hours, $52, $444,"$1,454 per month",redfin.com/TX/Houston/8307-Clover-Gardens-Dr-77095/home/30473654
 Active,"$190,000","3 Beds,2 Baths,1,480 Sq. Ft."," 6,120 Sq. Ft.","7114 Buchanan Dr, Richmond, TX 77469",7.0, 1986,1647.5, $128, 3 hours, $21, $320,"$1,132 per month",redfin.com/TX/Richmond/7114-Buchanan-Dr-77469/home/33067487
 Active,"$176,000","3 Beds,2 Baths,1,298 Sq. Ft."," 9,955 Sq. Ft.","5902 Crane St, Houston, TX 77026",2.5, 1950,1450.5, $136, 4 hours, $21, $320,"$1,132 per month",redfin.com/TX/Houston/5902-Crane-St-77026/home/29967514
 Active,"$129,000","3 Beds,2 Baths,1,573 Sq. Ft."," 6,534 Sq. Ft.","810 Casey St, Channelview, TX 77530",3.75, 1969,1631.0, $82, 4 hours, $21, $320,"$1,132 per month",redfin.com/TX/Channelview/810-Casey-St-77530/home/30103892
